name,count,x,y
United States,97,-100.4458825,39.7837304
Canada,34,-107.9917071,61.0666922
Italy,23,12.674297,42.6384261
United Kingdom,18,-3.2765753,54.7023545
Spain,16,-4.8380649,39.3262345
France,15,1.8883335,46.603354
Australia,13,134.755,-24.7761086
Germany,10,10.4234469,51.0834196
Austria,7,13.199959,47.2000338
Netherlands,6,5.7480821,52.5001698
Russia,6,97.7453061,64.6863136
Brazil,4,-53.2,-10.3333333
Finland,4,25.9209164,63.2467777
Argentina,4,-64.9672817,-34.9964963
Sweden,3,14.5208584,59.6749712
Japan,3,139.2394179,36.5748441
Denmark,2,10.3333283,55.670249
Chile,2,-71.3187697,-31.7613365
Dem. Rep. Korea,2,127.7669,35.9078
Uruguay,2,-56.0201525,-32.8755548
China,2,104.999927,35.000074
Peru,2,-75.0458515,-6.8699697
Ireland,2,-7.9794599,52.865196
UN,2,-1.658569528503289,42.80115395
Indonesia,1,117.8902853,-2.4833826
Timor-Leste,1,125.8375756,-8.5151979
Sierra Leone,1,-11.8400269,8.6400349
Belgium,1,4.6667145,50.6402809
Singapore,1,103.83039182212079,1.3408630000000001
Philippines,1,122.7312101,12.7503486
India,1,78.6677428,22.3511148
Hong Kong,1,114.1628131,22.2793278
Greece,1,21.9877132,38.9953683
Romania,1,24.6859225,45.9852129
Tunisia,1,9.400138,33.8439408
Bahrain,1,50.5344606,26.1551249
Ukraine,1,31.2718321,49.4871968
United Arab Emirates,1,53.9994829,24.0002488
South Africa,1,24.991639,-28.8166236
Portugal,1,-7.8896263,40.0332629
Slovakia,1,19.4528646,48.7411522
Moldova,1,28.5670941,47.2879608
Estonia,1,25.3319078,58.7523778
New Zealand,1,172.8344077,-41.5000831
Norway,1,11.52803643954819,64.5731537
EU,1,1.4175744,50.0491699
Switzerland,1,8.2319736,46.7985624
Saudi Arabia,1,42.3528328,25.6242618
Mexico,1,-99.1331785,19.4326296
Tanzania,1,35.7878438,-6.5247123
Costa Rica,1,-84.0739102,10.2735633
Oman,1,57.0036901,21.0000287
Ghana,1,-1.0800271,8.0300284
Kenya,1,38.4313975,1.4419683
Colombia,1,-73.783892,2.8894434
Trinidad and Tobago,1,-60.9821067,10.8677845
Morocco,1,-7.3362482,31.1728205
