name,country,Link,Type,x,y,country_code,img_url
Mexico,Mexico,http://datos.gob.mx/,International Country,-102.5763495,23.9353719,MX,https://www.countryflags.io/MX/shiny/64.png
Canada,Canada,http://open.canada.ca/en,International Country,-98.14238137,61.46907615,CA,https://www.countryflags.io/CA/shiny/64.png
Costa Rica,Costa Rica,http://datosabiertos.gob.go.cr,International Country,-84.17542309999999,9.965671127,CR,https://www.countryflags.io/CR/shiny/64.png
Peru,Peru,http://www.datosperu.org/,International Country,-74.39180582,-9.191562905,PE,https://www.countryflags.io/PE/shiny/64.png
Colombia,Colombia,www.datos.gov.co,International Country,-73.07773209,3.927213863,CO,https://www.countryflags.io/CO/shiny/64.png
Chile,Chile,http://datos.gob.cl/,International Country,-71.52064395,-39.04701431,CL,https://www.countryflags.io/CL/shiny/64.png
Argentina,Argentina,http://datos.argentina.gob.ar/,International Country,-65.17536077,-35.44682149,AR,https://www.countryflags.io/AR/shiny/64.png
Trinidad and Tobago,Trinidad and Tobago,http://data.gov.tt/,International Country,-61.33036691,10.42823709,TT,https://www.countryflags.io/TT/shiny/64.png
Uruguay,Uruguay,http://datos.gub.uy/,International Country,-56.00327867,-32.78090437,UY,https://www.countryflags.io/UY/shiny/64.png
Brazil,Brazil,http://dados.gov.br/,International Country,-53.05434004,-10.80677364,BR,https://www.countryflags.io/BR/shiny/64.png
Sierra Leone,Sierra Leone,http://opendata.gov.sl/,International Country,-11.79525743,8.530353726,SL,https://www.countryflags.io/SL/shiny/64.png
Morocco,Morocco,http://data.gov.ma/,International Country,-8.420479545,29.8853947,MA,https://www.countryflags.io/MA/shiny/64.png
Portugal,Portugal,http://www.dados.gov.pt/pt/inicio/inicio.aspx,International Country,-8.055765588,39.63404977,PT,https://www.countryflags.io/PT/shiny/64.png
Ireland,Ireland,http://www.statcentral.ie/,International Country,-8.010236545,53.18059121,IE,https://www.countryflags.io/IE/shiny/64.png
Spain,Spain,http://datos.gob.es/,International Country,-3.6170206019999998,40.34865611,ES,https://www.countryflags.io/ES/shiny/64.png
France,France,http://data.gouv.fr/,International Country,-2.8805991910000004,42.4577181,FR,https://www.countryflags.io/FR/shiny/64.png
United Kingdom,United Kingdom,http://data.gov.uk/,International Country,-2.853135395,53.91477348,GB,https://www.countryflags.io/GB/shiny/64.png
Ghana,Ghana,http://data.gov.gh,International Country,-1.2369685559999999,7.928651812999999,GH,https://www.countryflags.io/GH/shiny/64.png
Belgium,Belgium,http://data.gov.be/,International Country,4.580831591,50.65244261,BE,https://www.countryflags.io/BE/shiny/64.png
Netherlands,Netherlands,http://data.overheid.nl/,International Country,5.512217101,52.29870037,NL,https://www.countryflags.io/NL/shiny/64.png
Tunisia,Tunisia,http://www.data.gov.tn/,International Country,9.534716121,34.17293904,TN,https://www.countryflags.io/TN/shiny/64.png
Denmark,Denmark,http://digitaliser.dk/,International Country,9.876372938,56.06393446,DK,https://www.countryflags.io/DK/shiny/64.png
Germany,Germany,https://www.govdata.de/,International Country,10.28848509,51.13372269,DE,https://www.countryflags.io/DE/shiny/64.png
Italy,Italy,http://www.dati.gov.it/,International Country,12.14078837,42.75118305,IT,https://www.countryflags.io/IT/shiny/64.png
Austria,Austria,http://data.gv.at/,International Country,14.07615888,47.61394879,AT,https://www.countryflags.io/AT/shiny/64.png
Norway,Norway,http://data.norge.no/,International Country,15.46812612,69.1568564,NO,https://www.countryflags.io/NO/shiny/64.png
Sweden,Sweden,http://xn--ppnadata-m4a.se/,International Country,16.59626585,62.81148497,SE,https://www.countryflags.io/SE/shiny/64.png
Slovakia,Slovakia,http://data.gov.sk/,International Country,19.50765715,48.72671135,SK,https://www.countryflags.io/SK/shiny/64.png
Greece,Greece,http://geodata.gov.gr/geodata/,International Country,22.71981345,39.0667159,GR,https://www.countryflags.io/GR/shiny/64.png
Romania,Romania,http://data.gov.ro/,International Country,24.94325249,45.85710104,RO,https://www.countryflags.io/RO/shiny/64.png
South Africa,South Africa,http://data.gov.za/,International Country,25.04801388,-28.94703326,ZA,https://www.countryflags.io/ZA/shiny/64.png
Estonia,Estonia,http://pub.stat.ee/px-web.2001/Dialog/statfile1.asp,International Country,25.82472838,58.64369524,EE,https://www.countryflags.io/EE/shiny/64.png
Finland,Finland,http://www.suomi.fi/suomifi/tyohuone/yhteiset_palvelut/avoin_data/,International Country,26.2117647,64.50409392,FI,https://www.countryflags.io/FI/shiny/64.png
Moldova,Moldova,http://data.gov.md/,International Country,28.41048279,47.20367643,MD,https://www.countryflags.io/MD/shiny/64.png
Ukraine,Ukraine,http://data.gov.ua/,International Country,31.36953308,48.97301797,UA,https://www.countryflags.io/UA/shiny/64.png
Tanzania,Tanzania,http://opendata.go.tz/,International Country,34.75298813,-6.257732721,TZ,https://www.countryflags.io/TZ/shiny/64.png
Kenya,Kenya,http://opendata.go.ke/,International Country,37.79155529,0.5959662520000001,KE,https://www.countryflags.io/KE/shiny/64.png
Saudi Arabia,Saudi Arabia,http://www.data.gov.sa/,International Country,44.51636377,24.12328984,SA,https://www.countryflags.io/SA/shiny/64.png
Bahrain,Bahrain,http://www.bahrain.bh/wps/portal/data/,International Country,50.5577,26.0667,BH,https://www.countryflags.io/BH/shiny/64.png
United Arab Emirates,United Arab Emirates,http://opendata.nbs.gov.ae/,International Country,54.20671476,23.86863365,AE,https://www.countryflags.io/AE/shiny/64.png
Oman,Oman,http://www.oman.om/opendata,International Country,56.09867282,20.61117437,OM,https://www.countryflags.io/OM/shiny/64.png
India,India,http://data.gov.in/,International Country,79.59370376,22.92500641,IN,https://www.countryflags.io/IN/shiny/64.png
Russia,Russia,http://opengovdata.ru/,International Country,96.87522326,61.98084075,RU,https://www.countryflags.io/RU/shiny/64.png
Singapore,Singapore,http://data.gov.sg/,International Country,103.8538748,1.294979325,SG,https://www.countryflags.io/SG/shiny/64.png
China,China,http://govinfo.nlc.gov.cn/,International Country,103.8836163,36.55506854,CN,https://www.countryflags.io/CN/shiny/64.png
Hong Kong,Hong Kong,http://www.gov.hk/en/theme/psi/datasets/,International Country,114.1694,22.3193,HK,https://www.countryflags.io/HK/shiny/64.png
Indonesia,Indonesia,http://satupemerintah.net/,International Country,117.42340759999999,-2.221737937,ID,https://www.countryflags.io/ID/shiny/64.png
Philippines,Philippines,http://data.gov.ph/,International Country,122.90267240000001,11.76379936,PH,https://www.countryflags.io/PH/shiny/64.png
Timor-Leste,Timor-Leste,http://www.transparency.gov.tl/,International Country,125.9663003,-8.767760362,TL,https://www.countryflags.io/TL/shiny/64.png
Dem. Rep. Korea,Dem. Rep. Korea,http://www.data.go.kr/,International Country,127.1650168,40.14302086,KR,https://www.countryflags.io/KR/shiny/64.png
Australia,Australia,http://data.gov.au/,International Country,134.50277549999998,-25.73065478,AU,https://www.countryflags.io/AU/shiny/64.png
Japan,Japan,http://www.data.go.jp/,International Country,138.0649621,37.66311081,JP,https://www.countryflags.io/JP/shiny/64.png
New Zealand,New Zealand,http://www.data.govt.nz/,International Country,172.70192590000002,-41.66257876,NZ,https://www.countryflags.io/NZ/shiny/64.png
British Columbia,Canada,http://www.data.gov.bc.ca/,International Regional,-125.00244099999999,55.001251,CA,https://www.countryflags.io/CA/shiny/64.png
Nanaimo,Canada,http://www.nanaimo.ca/datafeeds,International Regional,-123.93797190000001,49.163759399999996,CA,https://www.countryflags.io/CA/shiny/64.png
Saanich,Canada,http://www.saanich.ca/data/catalogue/index.php,International Regional,-123.3764946,48.4594315,CA,https://www.countryflags.io/CA/shiny/64.png
British Columbia Local Government,Canada,http://www.civicinfo.bc.ca/,International Regional,-123.3684762,48.4178785,CA,https://www.countryflags.io/CA/shiny/64.png
Vancouver,Canada,http://data.vancouver.ca/,International Regional,-123.11395290000002,49.2608724,CA,https://www.countryflags.io/CA/shiny/64.png
District of North Vancouver,Canada,http://geoweb.dnv.org/data/,International Regional,-123.07802079999999,49.33612,CA,https://www.countryflags.io/CA/shiny/64.png
Prince George,Canada,http://princegeorge.ca/cityservices/online/odc/Pages/Documents.aspx,International Regional,-122.74218300000001,53.908527,CA,https://www.countryflags.io/CA/shiny/64.png
County of Grand Prairie (CA),Canada,http://www.countygp.ab.ca/EN/main/community/maps-gis/open-data/data.html,International Regional,-118.811695,55.174811,CA,https://www.countryflags.io/CA/shiny/64.png
North Okanagan,Canada,http://www.rdno.ca/index.php/maps/digital-data,International Regional,-118.71477079999998,50.416484600000004,CA,https://www.countryflags.io/CA/shiny/64.png
Alberta,Canada,http://data.alberta.ca/,International Regional,-115.00213600000001,55.001251,CA,https://www.countryflags.io/CA/shiny/64.png
